Indicator Variable,Alternate name,Status Flag,Indicator Name,Units,Base
Emp,B,sEmp,Beginning-of-Quarter Employment,Count,1
EmpEnd,E,sEmpEnd,End-of-Quarter Employment,Count,1
EmpS,F,sEmpS,Full-Quarter Employment (Stable),Count,1
EmpSpv,Fpv,sEmpSpv,Full-Quarter Employment in the Previous Quarter,Count,1
EmpTotal,M,sEmpTotal,Employment - Reference Quarter,Count,1
HirA,A,sHirA,Hires (All Accessions),Count,1
HirN,H,sHirN,New Hires,Count,1
HirR,R,sHirR,Recall Hires,Count,1
Sep,S,sSep,Separations (All),Count,1
HirAEnd,CA,sHirAEnd,End-of-Quarter Hires,Count,1
HirAEndR,CAR,sHirAEndR,End-of-Quarter Hiring Rate,Rate,(Emp + EmpEnd)/2
SepBeg,CS,sSepBeg,Beginning-of-Quarter Separations,Count,1
SepBegR,CSR,sSepBegR,Beginning-of-Quarter Separation Rate,Rate,(Emp + EmpEnd)/2
HirAS,FA,sHirAS,Hires (All Hires into Full-Quarter Employment),Count,1
HirNS,FH,sHirNS,New Hires (New Hires into Full-Quarter Employment),Count,1
SepS,FS,sSepS,Separations (Flows out of Full-Quarter Employment),Count,1
SepSnx,FSnx,sSepSnx,Separations in the Next Quarter (Flows out of Full-Quarter Employment),Count,1
TurnOvrS,FT,sTurnOvrS,Turnover (Stable),Rate,2*EmpS
FrmJbGn,JC,sFrmJbGn,Firm Job Gains (Job Creation),Count,1
FrmJbLs,JD,sFrmJbLs,Firm Job Loss (Job Destruction),Count,1
FrmJbC,JF,sFrmJbC,Firm Job Change (Net Change),Count,1
HirAEndRepl,EI,sHirAEndRepl,Replacement Hires,Count,1
HirAEndReplr,EIR,sHirAEndReplr,Replacement Hiring Rate,Rate,(Emp + EmpEnd)/2
FrmJbGnS,FJC,sFrmJbGnS,Firm Job Gains (Stable),Count,1
FrmJbLsS,FJD,sFrmJbLsS,Firm Job Loss (Stable),Count,1
FrmJbCS,FJF,sFrmJbCS,Firm Job Change (Stable; Net Change),Count,1
EarnS,ZW3,sEarnS,Average Monthly Earnings (Full-Quarter Employment),Dollars,1
EarnBeg,ZW1,sEarnBeg,Average Monthly Earnings (Beginning-of-Quarter Employment),Dollars,1
EarnHirAS,ZWFA,sEarnHirAS,Average Monthly Earnings (All Hires into Full-Quarter Employment),Dollars,1
EarnHirNS,ZWFH,sEarnHirNS,Average Monthly Earnings (New Hires into Full-Quarter Employment),Dollars,1
EarnSepS,ZWFS,sEarnSepS,Average Monthly Earnings (Flows out of Full-Quarter Employment),Dollars,1
Payroll,W1,sPayroll,Total Quarterly Payroll,Dollars,1
