Indicator Variable,Alternate Name,Status Flag,Indicator Name,Description,Units,Concept,Base
MHireR,all_doma2_rate,sMHireR,Hires,Rate of hires into a worker's main job,Rate,Hire,((MainB+MainE)/2)
MSepR,all_doms2_rate,sMSepR,Separations,Rate of separations from a worker's main job,Rate,Separation,((MainB+MainE)/2)
MJobStartR,first_dome_rate,sMJobStartR,Main Job Starts,Rate of new main jobs due to hires and instances when a previously existing secondary job becomes the main source of earnings,Rate,Hire,((MainB+MainE)/2)
MJobEndR,last_domb_rate,sMJobEndR,Main Job Ends,Rate of end of main jobs due to separations and instances when another job becomes the main source of earnings,Rate,Separation,((MainB+MainE)/2)
EEHireR,ee_doma2_rate,sEEHireR,Job-to-Job Hires (Continuous Employment),Rate of hires following a separation with no observed nonemployment spell,Rate,Hire,((MainB+MainE)/2)
EESepR,ee_doms2_rate,sEESepR,Job-to-Job Separations (Continuous Employment),Rate of separations followed by a hire with no observed nonemployment spell,Rate,Separation,((MainB+MainE)/2)
AQHireR,aq_doma2_rate,sAQHireR,Job-to-Job Hires (Brief Nonemployment),Rate of hires following a separation with a short nonemployment spell,Rate,Hire,((MainB+MainE)/2)
AQSepR,aq_doms2_rate,sAQSepR,Job-to-Job Separations (Brief Nonemployment),Rate of separations followed by a hire with a short nonemployment spell,Rate,Separation,((MainB+MainE)/2)
J2JHireR,j2j_doma2_rate,sJ2JHireR,Job-to-Job Hires,Rate of hires following a separation (short or no observed nonemployment spell),Rate,Hire,((MainB+MainE)/2)
J2JSepR,j2j_doms2_rate,sJ2JSepR,Job-to-Job Separations,Rate of separations followed by a hire (short or no observed nonemployment spell),Rate,Separation,((MainB+MainE)/2)
NEHireR,ne_doma2_rate,sNEHireR,Hires from Nonemployment,Rate of hires following any spell of nonemployment,Rate,Hire,((MainB+MainE)/2)
ENSepR,en_doms2_rate,sENSepR,Separations to Nonemployment,Rate of separations into any spell of nonemployment,Rate,Separation,((MainB+MainE)/2)
NEPersistR,ne2_doma2_rate,sNEPersistR,Hires from Persistent Nonemployment,Rate of hires following a spell of persistent nonemployment,Rate,Hire,((MainB+MainE)/2)
ENPersistR,en2_doms2_rate,sENPersistR,Separations to Persistent Nonemployment,Rate of separations into a spell of persistent nonemployment,Rate,Separation,((MainB+MainE)/2)
NEFullQR,ne2p_doma2_rate,sNEFullQR,Hires from Full-Quarter Nonemployment,Rate of hires following a spell of full-quarter nonemployment (does not include intermittently employed),Rate,Hire,((MainB+MainE)/2)
ENFullQR,en2p_doms2_rate,sENFullQR,Separations to Full-Quarter Nonemployment,Rate of separations into a spell of full-quarter nonemployment (does not include intermittently employed),Rate,Separation,((MainB+MainE)/2)
